label, text
 Motor, Motor Vibration Analyzer
 Motor oil, Oil change equipment
 Equipment Installation, Panoramic camera installation
 Auto Finance, Auto Finance Strategy
 New Energy Vehicles, New Energy Vehicle Intelligent Dispatching System
 trading, Green Building Materials
 Commercial trade services, International market data analysis
 Metal Crafts, Small iron desk
 Solar cell modules, Solar cell temperature sensor
 Satellite navigation application system, Ocean Monitoring System
 Photovoltaic modules, Photovoltaic module dynamic performance test
 Wind power, Wind farm temperature and humidity sensor
 Coal-fired generators, Power Plant Load Management Platform
 Rim, Spring system rim
 Charging and swapping stations, Network switches
 New Energy Vehicles, Multi-sensor fusion technology for new energy vehicles
 Iron and Steel Metallurgy, Standardization services for the steel industry
 Glasses, E-paper glasses
 Warehousing and distribution, Warehouse insurance claims service
 Motor oil, Engine oil anti-deposit agent
 Motor oil, New car oil change service
 Automobile, Car smart welcome light
 Brokerage Agent, Conference Agent
 New Energy Vehicles, New energy vehicle automatic parking technology
 Crystalline silicon material, Single crystal silicon polishing wafer
 Power battery system, Battery Charging Equipment Optimization
 Decoration, Wire and Cable
 Automobile, Automotive Powertrain
 Car interior products, Ventilated seat cushion
 New Energy Vehicles, Charging data analysis of new energy vehicle owners New energy vehicle in-vehicle infotainment system
 Metal smelting and processing, Tungsten smelting furnace
 Warehousing Services, Frozen storage
 Industrial gas processing equipment, Industrial Gas Transportation Systems
Automation control products, Automated testing equipment
 Charging station service, Electric vehicle charging interface equipment
 Information business, Regional news platform
 Car interior products, Interior headlight control panel
 trading, International payment processing services
 Energy Management System, High efficiency motor system
 Iron and Steel Metallurgy, Nickel Ore
 Car Repair, Car window seal repair
 Metal Crafts, Copper floral decoration
 fastener, Special nuts
 Car maintenance and repair, Car key programming
 Power battery system, Battery Pack Communication System
 Equipment Installation, Swimming pool equipment installation
 Metal Crafts, Iron window frame decoration
 Mechanical Equipment, Door and window production line
 lubricating oil, Medical equipment lubricants
 Warehousing and distribution, Temperature and humidity monitor
 Steel, Cold galvanized steel
 Monitoring unit, Power load monitoring
 Satellite navigation application system, UAV Image Measurement System
 Motor, Motor and electronic control technology consultation
 Car maintenance and repair, Turbocharger repair
 Management Consulting, Project bidding management
 Warehousing Services, Warehouse transportation service management
 Wind power plant development and construction, Wind power equipment transportation services
 Commercial trade services, Supply Chain Optimization Services
 Pumped Storage, Electricity metering equipment
 Pigments, Bright paint
 Steel, Square tube
 Power transmission equipment, Power dispatching management services
 Metal Crafts, Metal Craft Painting
 Iron and Steel Metallurgy, Molybdenum Ore
 Iron and Steel Metallurgy, Round Steel
 Steel, Stainless steel sheet
 Mechanical Equipment, Saw Blades
 Temperature Sensor, Human body temperature sensor
 New energy logistics vehicle, Electric heavy trucks
 lubricating oil, Low temperature starting oil
 Warehousing Services, Adjustment of cargo storage conditions
 Power System, Power transmission module
 Warehousing and distribution, Logistics Information Platform
 Mechanical Equipment, High frequency transformer
 Wind power plant development and construction, Wind farm cleaning services
 Energy Management System, Electrical Equipment Energy Saving Management Platform
 Thermal imaging camera, Infrared thermal imaging equipment rental
 Wind power, Wind farm dispatch automation system
 Power Equipment, Electrical Engineer Training Courses
 Integrated control system, Dynamic load regulation system
 Monitoring unit, Electromagnetic monitoring system
 fastener, Split pin
 Energy storage machine, Battery recycling system
 Car interior products, Seat heating regulator
 Equipment Installation, Automation equipment installation
 Video surveillance equipment, PTZ Camera
 oil, Oil production risk assessment
 Photovoltaic power station operation, Power plant performance optimization
 Photovoltaic modules, Photovoltaic module DC junction box
 Testing machine, Welding testing machine
 New energy logistics vehicle, On-board remote diagnostic system
 Charging station service, Charging station power monitoring system
 Metal smelting and processing, Utilization of steel waste
 Industrial gas processing equipment, Deoxidation equipment
 Intelligent transportation equipment, Urban Smart Transportation Service Platform
 Photovoltaic power station operation, Photovoltaic power station project review
 Mechanical Equipment, Turntable conveyor
 Rim, Steel rims
 Pigments, Sportswear dyes
 Coal-fired generators, Cooling pool
 Car interior products, Car audio control panel
 Photovoltaic power station operation, Monitoring system installation and maintenance
 Satellite communication transmission equipment, Satellite signal debugging tool
 Energy Management System, Smart Power Meter
 Warehousing Services, Temperature controlled warehousing
 Warehousing and distribution, Logistics dispatch platform
 Energy Management System, Solar power generation dispatching system
 lubricating oil, Fluorinated oil
 Truck, engine
 Construction Machinery, Steel bar processing equipment
 Energy Management System, Power grid fault automatic repair system
 Warehousing Services, Shelf service
 Industrial gas processing equipment, Multifunctional gas purification system
 Mechanical Equipment, Measuring instruments
 Mechanical Equipment, Environmentally friendly fan
 Metal smelting and processing, Electronic grade metal smelting
 Temperature Sensor, Computer temperature sensor
 Satellite navigation application system, Aerial mapping and positioning system
 Car Repair, Automobile drive shaft repair
 lubricating oil, Energy-saving lubricants
 Charging station service, Battery charging multi-terminal synchronization technology
 fastener, Vibration prevention nut
 Industrial gas processing equipment,Oxygen Purifier
 Motor oil, Engineering machinery lubricants
 Equipment Installation, Glass door installation
 Body accessories, Car window regulator
 oil, Joint development of oil and gas resources
 Information business, Public transportation information platform
Automation control products, sensor
 Mechanical Equipment, Electric cutting tools
 Automobile, Car Wireless Charging Pad
 Power System, Photovoltaic inverter
 Mechanical Equipment, Vibrating screen
 Car interior products, Mini Car Refrigerator
 Motor, Motor multi-degree-of-freedom control
 Commercial trade services, Enterprise risk assessment
 New energy logistics vehicle, Electric logistics vehicle information transmission system
 Power transmission equipment, Power line electromagnetic field monitoring equipment
 Inorganic Fiber, Magnesium aluminum fiber yarn
 Photovoltaic modules, Photovoltaic cell phosphating equipment
 Financial leasing, Lease Contract Implementation Plan
 Wind power, Wind turbine parts
 Wind power plant development and construction, Wind farm site survey
 Metal Crafts, Copper bathroom accessories
 Information business, Customer Opinion Analysis Platform
 Engine parts, Electronic valve control system
 Integrated control system, PLC control system
 Truck, Brake fluid
 Auto Finance, Electric vehicle charging financial services
 Body accessories, Car window frame repair stickers
 Energy Management System, Distributed Power Management System
 Energy storage machine, Energy storage equipment recycling service
 Crystalline silicon material,Silicon Photovoltaic System Development
 fastener, Wire rope connecting bolt
 Brokerage Agent, Financial Advisor Agent
 Iron and Steel Metallurgy, Heat treatment furnace
 Power battery system, Battery Management Module
 Truck, Battery
Automation control products, Automatic switch control system
 Industrial gas processing equipment, Industrial waste gas decomposition device
 nuclear power, Nuclear power unit life assessment
 Iron and Steel Metallurgy, Mechanical properties test
 Decoration, Bedside lamp
 Steel, Steel Cooling Technology
 Lithium-ion battery, Battery Discharge Performance Analyzer
 Body accessories, Door handle
 Brokerage Agent, Car rental agency
 Power Station, Power quality monitoring system
 fastener, Nut connection tool
 fastener, Ball studs
 Auto Finance, Car loan credit assessment
 Auto Finance, Subsidized loan for manufacturers
 Equipment Installation, Water pipe installation
 Steel, Brushed Steel
 Motor oil, Oil capacity dipstick
 Warehousing and distribution, Storage Containers
 Metal smelting and processing, Refined Aluminum
 Testing machine, Shear testing machine
 Commercial trade services, Foreign trade order management
 Inorganic Fiber, Zirconium fiber woven cloth
 Mechanical Equipment, High-speed motor
 Management Consulting, Internal control system construction
 Power Station, Power automation system
 Commercial trade services, VAT calculation service
 Auto Finance, Car loan fee
 Commercial trade services, Customer demand analysis
 fastener, Bolt surface treatment
 fastener, Flange gasket
 Motor oil, Engine oil pump
 Lithium-ion battery, Lithium battery cells
 Charging station service, Electric vehicle intelligent charging system
 Management Consulting, Overseas M&A Consulting
 Brokerage Agent, PR Agency
 Crystalline silicon material, Silicon material purification
 Pumped Storage, Power station energy dispatch management
 Monitoring unit,Intelligent lighting monitoring
Automation control products, Robot Battery Management System
 Construction Machinery, Concrete Extrusion Pump
 Metal smelting and processing, Heat treatment
 Car interior products, Central console
 Crystalline silicon material, Crystalline silicon and polycrystalline silicon cells
 Mechanical Equipment, Refrigerant recovery machine
 Video surveillance equipment, Remote sensing surveillance video technology
 Rim, Wheel rim turning
 Mechanical Equipment, Electric Motor
 Mechanical Equipment, Stereoscopic parking garage
 Thermal imaging camera, Thermal imaging camera troubleshooting services
 Industrial gas processing equipment, Compressed gas cooling device
 Solar cell modules, Solar cell distributed power generation solution
 lubricating oil, Air compressor oil
 Car Repair, Vehicle Dynamic Stability Control Repair
 nuclear power, Energy efficiency assessment
 Car maintenance and repair, Car key replacement
 Power Station, Power Project Management
 Satellite communication transmission equipment, Satellite receiving antenna
 Metal smelting and processing, Rare earth materials for metallurgy
 Warehousing and distribution, Warehouse cargo label printer
 Power Equipment, Power storage equipment
 New Energy Vehicles, New energy vehicle mobile charging equipment
 Auto Finance, Low interest car loan selection tool
 Energy Management System, Smart energy conversion equipment
 Brokerage Agent, Film and TV Agency Services
 Glasses, High light transmittance lens design
 Decoration, Solid wood door
 Metal smelting and processing, Aluminum alloy castings
 Engine parts, Battery Management System
 Motor, Motor Vibration Monitoring System
 Thermal imaging camera, Thermal imager calibration equipment
 Wind power plant development and construction, Wind energy resource analysis of wind farms
 Wind power operation, Wind farm dynamic prediction system
 Brokerage Agent, Telecommunications agency services
 Power System, Battery Charging System
 Monitoring unit, Power line monitoring
 oil, Oil resource exploration and production
 Industrial gas processing equipment, Gas transmission pipeline
 Pumped Storage, Hydraulic simulation software
 Engine parts, Coolant pipe
 Power System, AC Power
 nuclear power, Nuclear power unit dispatching system
 Lithium-ion battery, Battery Intelligent Management System
 Auto Finance, Customized financial service window
 Information business, News data query platform
 Automobile, Automobile fuel filter
 Iron and Steel Metallurgy, Steel
 New energy logistics vehicle, Battery health monitoring for electric logistics vehicles
 Inorganic Fiber, Magnesium aluminum fiber insulation belt
 Satellite communication transmission equipment, High Power Satellite Transmitters
 Lithium-ion battery, Lithium battery storage system
 Engine parts, Valve spring
 Warehousing Services, Storage rack rental
 Brokerage Agent, Fertilizer and Pesticide Agent
 Management Consulting, Internal process audit
 Warehousing Services, Outbound inspection
 Photovoltaic power station operation, Power Station Electrical Cleaning Services
 Photovoltaic modules, Long-term performance test of photovoltaic modules
 Car Repair, Automobile oil filter replacement
 Pigments, Industrial coatings
 Integrated control system, Integrated multi-sensor network
 Iron and Steel Metallurgy, Copper plating
 Car Repair, Automobile supercharger testing
 Decoration, Custom Wardrobe
 Truck, Car air compressor
 Power battery system, Battery electrical system upgrade
 Metal Crafts, Stainless steel bathroom shelf
 Wind power plant development and construction, Wind farm construction material procurement
 New energy logistics vehicle, Electric light truck
 Power System, Battery Thermal Management System
 Inorganic Fiber, Tungsten fiber cloth
 Power battery system, Power battery unit
 Photovoltaic modules, Photovoltaic cell coating
 Rim, Rim thermal expansion test
 Metal Crafts, Copper table decoration
 Automobile, Car emergency brake system
 New energy logistics vehicle, Hydrogen fuel logistics vehicle
Automation control products, Drone monitoring system
 Wind power plant development and construction, Wind power project supervision services
 Photovoltaic modules, Photovoltaic lighting conditions test
 Rim, High performance rims
 Charging station service, Electric vehicle charging self-service system
 Industrial gas processing equipment, High temperature gas processing equipment
 Monitoring unit, Information monitoring tools
 Power Generation Machinery, dynamo
 Coal-fired generators, Power plant boiler desulfurization transformation service
 Auto Finance, Car loan quota assessment system
 nuclear power, Nuclear Power Engineering Review
 Commercial trade services, Export logistics management
 Pigments, Sporting Goods Coatings
 Wind power plant development and construction, Wind farm environmental data processing
 Management Consulting, Tax risk management
 Mechanical Equipment, Power control cabinet
 lubricating oil, Friction oil
 Metal Crafts, Steel Furniture
 Wind power plant development and construction, Wind turbine mechanical parts supply
 Industrial gas processing equipment, Flue gas denitrification device
 Warehousing and distribution, Warehouse label management system
 Motor, Real-time monitoring of motor current
 Truck, Delivery vehicle access service
 Management Consulting, Value chain analysis
 trading, Credit Rating Services
 Automobile, Car electric door switch
 Auto Finance, Fast rebate car finance
 Testing machine, Water flow tester
 Photovoltaic power station operation, Inverter performance test
 Information business, Cloud news storage platform
 Commercial trade services, Overseas Market Procurement
 Warehousing Services, Repackaging of goods
 Engine parts, Injector flow meter
 trading, Foreign trade project management services
 Industrial gas processing equipment, Heat Exchanger
 Power Generation Machinery, Power load monitoring
 Charging station service, Charging pile access to the power grid system
 Power Equipment, Power data analysis service
 Equipment Installation, Catering equipment installation
 Wind power operation, Wind farm electrical engineering construction
 Iron and Steel Metallurgy, Iron phosphate
 Engine parts, Electronic Throttle Control System
 Satellite navigation application system, Pavement construction monitoring system
 nuclear power, Radioactive waste storage
 oil, Rubber Additives
 Metal smelting and processing, Stainless steel plate
 Rim, Electric car rims
 Car maintenance and repair, antifreeze
 Brokerage Agent, Live broadcast promotion agent
 Crystalline silicon material, Silicon crystal growth technology
 Warehousing and distribution, Logistics supplier management
 nuclear power, Nuclear power plant automation system
 Financial leasing, Leasing financial services
 Wind power, Wind turbine power output optimization system
 Wind power operation, Wind farm shutdown warning system
 Wind power, Wind power project dispatch optimization service
 Pigments, Metallic Pigments
 Motor oil, Anti-corrosion engine oil
 Brokerage Agent, Custom Furniture Agent
 Power Generation Machinery, Thermal power generating units
 Brokerage Agent, Internet Marketing Agency
 Truck, Truck Rental
 Pigments, Opaque paint
 Body accessories, Hardtop convertible roof
 Decoration, Concrete decoration
 Energy storage machine, Comprehensive Utilization Plan of Energy Storage Equipment
 Inorganic Fiber, Aluminum silicate fiber insulation board
 Auto Finance, Owner credit rating
 Thermal imaging camera, Infrared thermal imager measurement software
 Warehousing and distribution, Packaging Materials
 Testing machine, Dimensional measuring testing machine
 trading, Trade Finance
 Warehousing Services, Warehouse facility maintenance
 Commercial trade services, Logistics and transportation consulting
 Information business, Short video news platform
 fastener, Anti-loosening bolt
 Metal smelting and processing, Ferroalloy refining
 Charging and swapping stations, Network connection equipment
 Power Generation Machinery, Gas Cooler
 Metal smelting and processing, Steel surface heat treatment
 trading, Foreign trade marketing consultant
 Decoration, Copper lamps
 Energy Management System, Power load balancing system
 lubricating oil, Car brake fluid
 Decoration, bookshelf
 Automobile, Car lamps
 Auto Finance,Regional car loan activities
 Power System, Power distribution cabinet power module
 Charging station service, Electric vehicle battery charging services
 Brokerage Agent, Corporate Advisory Services
 Solar cell modules, Solar cell module anti-vibration technology
 oil, crude
 Engine parts, Air Quality Sensors
 Charging station service, Slow charger
 Motor, Motor Field Service
 Power Equipment, Power equipment technical consulting services
 Warehousing Services, Customized cargo storage
 Truck, Fuel cell truck
 Satellite navigation application system, Driving recorder navigation function
 Pumped Storage, Power station environmental protection facilities
 Motor, Motor slip ring
 Engine parts, Engine Intake Air Temperature Sensor
 Satellite communication transmission equipment, Satellite communication dispatch system
 Automobile, Car brake fluid
 Wind power plant development and construction, Wind Farm Big Data Platform
 Energy storage machine, Energy storage battery automated production line
 Car interior products, steering wheel
 Glasses, Photochromic glasses
 Equipment Installation, Remote control switch installation
 Automobile, Automobile aluminum alloy wheel
 Decoration, Shower head
 Intelligent transportation equipment,Traffic information feedback system
 fastener, Rust-proof nuts
 Photovoltaic modules, Photovoltaic system automation monitoring
 Lithium-ion battery, Battery positive and negative terminals
 Equipment Installation, Fast lift door installation
 Testing machine, Servo testing machine
Automation control products, System status monitor
 Wind power, Wind power project technical consultation
 Equipment Installation, Smoke Detector Installation
 Equipment Installation, TV installation
 Motor, Motor operation diagnosis
 Photovoltaic modules, Photovoltaic cell temperature rise analysis
 Wind power operation, Wind farm accident emergency response
 Monitoring unit, Real-time processing of monitoring data
 Industrial gas processing equipment, Oxygen concentration control system
 New energy logistics vehicle, Electric Truck Battery Heating System
 Inorganic Fiber, Aluminum silicate fiber gasket
 Glasses, Glasses Ordering Platform
Automation control products, Electric linear actuator
 Power Equipment, Biomass generator set
 Thermal imaging camera, Thermal imaging camera sensor
 oil, Polystyrene
 Commercial trade services, Enterprise market positioning
 Temperature Sensor, Battery temperature sensor
 Automobile, Car rear windshield
 oil, Oil transportation network
 trading, Photovoltaic power generation
 Solar cell modules, Solar cell technology research and development
 Metal Crafts, Metal Garden Lights
 New energy logistics vehicle, Electric logistics vehicle power battery rental service
 Decoration, Bathroom mirror cabinet
 Charging and swapping stations, Distribution Automation System
 Coal-fired generators, Unit backup cooling system
 Coal-fired generators, Power Plant Energy Efficiency Assessment Services
 Charging and swapping stations, Electrical Intelligent Relay
 nuclear power, Nuclear power technology certification
 lubricating oil, Solar power lubricant
 Power Generation Machinery, Photovoltaic power generation system installation
 Auto Finance, Car Owner Loan Eligibility Assessment
 Photovoltaic modules, Photovoltaic cell life prediction
 Energy Management System, Energy consumption analysis tools
 Auto Finance, Car Owner Loan Interest Rate
 Video surveillance equipment, Environmental monitoring equipment
 Energy storage machine, Commercial energy storage solutions
 Lithium-ion battery, Fast charger
 Monitoring unit, Low power monitoring system
 Equipment Installation, Power line installation
 Car Repair, Automobile coolant pressure detection
 Car maintenance and repair,Front brake system repair
Automation control products,Industrial Automation Communication Module
 Auto Finance, Automotive Financial Services
 Management Consulting, Business model innovation
 Motor, Motor system integration
 Monitoring unit, Smart parking lot monitoring
 Coal-fired generators, Intelligent control system for coal-fired generator sets
 Car interior products, Electric seat adjustment system
 Warehousing Services, Warehouse material distribution
 Car interior products, Car first aid kit
 Thermal imaging camera, Thermal imager signal decoder
 Solar cell modules, Solar cell laser cutting technology
 Coal-fired generators, Ultra-low flue gas emission technology
 nuclear power, Nuclear fuel
 Video surveillance equipment, Automatic alarm video surveillance system
 Motor oil, Motor oil import service
 Construction Machinery, Cutting and drilling machines
 Video surveillance equipment, Intelligent video transmission control platform
 Coal-fired generators, Environmental monitoring equipment
 Warehousing Services, Efficient inventory control
 Construction Machinery, Vibratory pile driver
 Power Equipment, Sodium-sulfur battery energy storage system
 Satellite communication transmission equipment,Satellite wireless data communication system
 Car interior products, Central control knob
 Inorganic Fiber, Rock wool board
 Car interior products, Car fragrance system
 Motor oil, Multifunctional engine oil additive
 Energy Management System, Enterprise Energy Saving Certification Service
 Power battery system, Battery recycling monitoring
 Decoration, Wire routing
 New energy logistics vehicle, Electric cargo platform
 Decoration, Dining Chair
 Engine parts, Turbocharger housing
 Commercial trade services, Electronic payment services
 Monitoring unit, Wireless Sensor Network Monitoring
 Metal Crafts, Copper tea set
 Video surveillance equipment, Intelligent video transmission system
 Motor, Motor performance improvement solution
 Wind power plant development and construction, Wind Farm Gas Detection Services
 Mechanical Equipment, Turbine
 Iron and Steel Metallurgy, Welding quality inspection
 Testing machine, Plastic testing machine
 nuclear power, Nuclear power plant operation
 trading, Insurance Agent
 Car Repair, Fuel filter replacement
 Power transmission equipment, Power system load test equipment
 Metal smelting and processing, Electric furnace steelmaking equipment
 fastener, External thread fasteners
 Intelligent transportation equipment, Urban Parking Intelligent Management Platform
 Testing machine, Conductivity Tester
 Coal-fired generators, Boiler auxiliary equipment
 Mechanical Equipment, Mold heat treatment equipment
 Glasses, Medical glasses customization
 Monitoring unit, Fire monitoring system
 Crystalline silicon material, Photovoltaic silicon material cutting
 Power System, Power distribution device
 Engine parts, Vehicle diagnostic instrument
 Wind power plant development and construction,Wind farm wind energy monitoring equipment
 Brokerage Agent, Crafts Agent
 New Energy Vehicles, New Energy Vehicle Smart Charging Pile Network
 Car maintenance and repair, Car anti-theft system repair
 Power Equipment, Solar thermal power generation system
 Metal smelting and processing, Stainless steel belt
 Crystalline silicon material, Crystalline silicon film battery components
 Wind power, Wind power project construction acceptance services
 fastener, Punch nut
 Mechanical Equipment, Elevator accessories
 Car interior products, Interior dashboard trim
 lubricating oil, Railway vehicle lubricants
 Thermal imaging camera, Fixed thermal imaging camera
 Lithium-ion battery, Battery automatic inspection system
 Inorganic Fiber, Zirconium fiber flame retardant material
 Mechanical Equipment, Electrical equipment maintenance tools
 Body accessories, Body reinforcement
 Mechanical Equipment, Drain pump
 Warehousing Services, Multi-layer shelf storage
 Rim, Wheel rim basic design
 Equipment Installation, Electric Scooter Installation
 Lithium-ion battery, Lithium battery assembly process
 Motor oil, Synthetic lubricants for automobiles
 Power transmission equipment, Lightning protection equipment
 Iron and Steel Metallurgy, Steel equipment installation
 Engine parts, Turbocharger core
 Metal Crafts, Steel wine rack
 oil, Petroleum Industry Certification
 Monitoring unit, Network monitoring software
 Satellite communication transmission equipment, Satellite Antenna Optimization System
 nuclear power, Nuclear power unit dispatch optimization
 Car maintenance and repair, Car seat massage function
 Power battery system, Battery Coolant Service
 Information business, Mobile information push platform
 Motor, Motor electrical interface design
 New energy logistics vehicle, Real-time data platform for electric logistics vehicles
 Power Generation Machinery, Power System Stability Analysis
 Satellite communication transmission equipment, Satellite transmission frequency switch
 Rim, Computer simulation of car rims
 Construction Machinery, Bracket crane
 Power battery system, Battery fast charging equipment
 Pumped Storage, Power quality assurance services
 Information business, Online news collection system
 Metal smelting and processing, Electric Arc Furnace
 Commercial trade services, Procurement contract management
 trading, Global import and export tariff consulting
 fastener, Sealing nut
 Power battery system, Optimal design of battery energy storage system
 Photovoltaic power station operation, Power Remote Management Service
 Thermal imaging camera, Thermal imager display module
 Video surveillance equipment, Abnormal behavior detection system
 Warehousing Services, Product storage and access
 Auto Finance, Car loan credit assessment
 Management Consulting, Capital structure optimization
 Pigments, High temperature resistant pigment
 Photovoltaic power station operation, Photovoltaic cell forward process
 Power System, Power supply adjustment
 Glasses, Business glasses
 Construction Machinery, Aerial work elevator
 Auto Finance, Leasing contract customization service
 Solar cell modules, Solar cell module surface coating
 Steel, Aluminum alloy steel pipe
 Satellite navigation application system, Professional logistics truck positioning
 Video surveillance equipment, Urban monitoring system integration
 Power Station, Compliance review of power companies
 oil, Oilfield wastewater treatment
 Power transmission equipment, Distribution Automation Communication System
 Inorganic Fiber, Rock wool insulation pipe
 Auto Finance, Quarterly Auto Loan Rebate
 Power Equipment, Automation switchgear
 Auto Finance, Vehicle Financial Services
 Auto Finance, New car tax loan
 Power transmission equipment, Power equipment rental services
 Power Generation Machinery, Power network optimization services
 Intelligent transportation equipment, Highway Traffic Flow Detection System
 Monitoring unit, Battery Monitor
 Glasses,Glasses shopping guide service
 Temperature Sensor, Multi-point temperature monitoring system
 Information business, Public Opinion Analysis Tool
 Wind power, Wind farm geological exploration services
 Rim, Bicycle rims
 Car interior products, Car Wireless Bluetooth Headset
 Warehousing and distribution, Warehouse cleaning services
 Wind power plant development and construction, Wind Farm Smart Grid Technology
 Power System, Power module power supply
 Pumped Storage, Power system construction services
 Metal smelting and processing, High temperature smelting
 Wind power plant development and construction, Wind farm operation training
 Power battery system, Battery pack slow charging equipment
 Satellite communication transmission equipment, Satellite service data transmission platform
 Motor, Motor noise control system
 Photovoltaic power station operation, Power plant economic evaluation
 Pumped Storage, Transmission line inspection
 Metal smelting and processing, Environmentally friendly smelting equipment
 nuclear power, Nuclear power efficient cooling technology
 Steel, Bearing Steel
 Charging station service, User charging record query
 trading, Environmentally friendly packaging
 Financial leasing, Equipment delivery service
 Glasses, Astigmatism glasses
 Warehousing Services, Warehouse workshop management
 fastener, Electroplating nuts
 Photovoltaic power station operation, Power station solar radiation monitoring
 Temperature Sensor, Thermal resistance sensor
 Iron and Steel Metallurgy, Tensile test
 Steel, Magnetic steel
 Automobile, Car brake booster
 Photovoltaic modules, Photovoltaic cell surface reflectivity
 Power Station, Power construction project evaluation
 New energy logistics vehicle, Electric van
 Warehousing Services, Warehousing contract management
 Solar cell modules,Photovoltaic system efficiency assessment service
 Car maintenance and repair, Brake fluid
 Photovoltaic modules, Photovoltaic cell photoelectric conversion efficiency improved
 Wind power, Wind turbine cooling device
 Decoration, Shelves
 Mechanical Equipment, Air Springs
 Power Generation Machinery, Water Pump
 Testing machine, Thermal Deformation Tester
 Wind power plant development and construction, Social Impact Assessment of Wind Power Projects
 Wind power, Wind farm energy efficiency monitoring equipment
 Industrial gas processing equipment,Adsorption gas purification device
 Commercial trade services, Overseas exhibition services
 Power transmission equipment, Power substation automation system
 Decoration, Water supply pipeline
 Power Generation Machinery, Power Electronics
 Car interior products, Car heating pad
 Rim, Heavy machinery rims
 Decoration, Blanket
 fastener, U-bolt
 Power Station,Power equipment decommissioning and disposal
 Decoration, Security door
 Truck, On-board energy recovery system
 Solar cell modules, Solar water heating system
 Photovoltaic power station operation, Flow Meter
 Mechanical Equipment, Exhaust fan
 Engine parts, Intake valve
 Warehousing and distribution, Cross-border warehousing services
 Warehousing Services, Lean warehouse management
 Decoration, wallpaper
 Warehousing and distribution, Cargo claims service
 Mechanical Equipment, High speed spraying machine
 Motor oil, Car oil consulting service
 Energy storage machine, Bidirectional charging energy storage system
 Automobile, Car taillights
 Power System, Electrical protection switch
 Satellite navigation application system, Personal location tracker
 Charging and swapping stations, Power grid dispatching system
Automation control products, Smart Grid Dispatching System
 Video surveillance equipment, License Plate Recognition System
 Power Station, Power station power maintenance equipment
 Decoration, coffee table
 Satellite navigation application system, Electronic health record location service
 Decoration, Ceiling
 Construction Machinery, Dump Truck
 Construction Machinery, Automatic lifting platform
 Integrated control system, Video surveillance system
 Body accessories, Car front window trim
 Brokerage Agent, Inventory Clearance Agent
 Car maintenance and repair, Rear brake system repair
 Power transmission equipment, Power line reinforcement equipment
 Charging and swapping stations, Power quantitative monitoring tool
 Iron and Steel Metallurgy, alloy steel
 Coal-fired generators, Flue gas purification equipment
 Brokerage Agent, Engineering supervision agency
 Steel, Tool Steel
 Crystalline silicon material, Monocrystalline silicon solar cells
 lubricating oil, lubricating oil
 Mechanical Equipment, Vacuum system
 Energy storage machine, Battery Cooling System
 Information business, Network data security monitoring
 Motor oil, High viscosity index oil
 Video surveillance equipment, Intrusion Detection System
 Power System, Power adjustment switch
 Truck, Windshield
 Mechanical Equipment, Road Machinery
 Brokerage Agent, Medical Insurance Agent
 Engine parts, Electric fan
 New Energy Vehicles, New energy vehicle on-board video surveillance system
 Integrated control system, Intelligent warehouse management system
 Auto Finance, Auto loan product types
 Charging and swapping stations, Power System Simulation Platform
 Financial leasing, Long-term rental asset planning
 Pumped Storage, Power dispatching scheme design
 Wind power plant development and construction, Wind power project regulatory consultation
 Energy Management System, Energy efficiency enhancing equipment
 Integrated control system, Integrated power monitoring system
 New energy logistics vehicle, Battery swap technology for electric trucks
 Intelligent transportation equipment, Intelligent scheduling platform
 Construction Machinery, roller
 Testing machine, Laser scanning testing machine
 trading, E-commerce risk management services
 Warehousing Services, Warehouse data analysis
 Car interior products,Parking radar button inside the car
 New Energy Vehicles, Intelligent driving mode switching for new energy vehicles
 Metal Crafts, Iron decorative cabinet
 New Energy Vehicles, New Energy Vehicle In-Vehicle Wireless Network
 Information business, Market trend analysis tools
 Management Consulting, Business negotiation skills training
 Video surveillance equipment, Video Scheduling Controller
 Satellite navigation application system, Fire extinguishing system location management
 Energy storage machine, Energy storage battery life extension device
 Power Generation Machinery, control Panel
 Engine parts, Fuel Injection Nozzle
 Warehousing Services, Warehousing technical support
 fastener, Anti-loosening mounting bolts
 Pigments, Matt paint
 Power transmission equipment, Power dispatching monitoring platform
 Automobile, Car electric spoiler
 trading, International Contract Risk Management Services
 Coal-fired generators, Coal-fired power generation unit asset management services
 Decoration, Wooden furniture
 Industrial gas processing equipment, Hydrogen Compression System
 Photovoltaic modules, Photovoltaic cell thermal failure test
 Engine parts, Valve stem
 Body accessories, Automobile exterior plastic trim
 Car interior products, Luminous cup holder mat
 Wind power plant development and construction, Wind power project energy audit services
 Wind power operation, Wind farm power dispatch optimization
 Commercial trade services, Export Management System
 Thermal imaging camera, Thermal imaging camera rental service
 New energy logistics vehicle, Electric logistics vehicle operation and maintenance management platform
 Car interior products, Door trim
 Solar cell modules, Photovoltaic power station construction project management
 Financial leasing, Lease Agreement Template
 Commercial trade services, Intellectual Property Protection
 Car interior products, Door switch button
 Truck, Cab heater
 Automobile, Car wireless transmission module
 Photovoltaic power station operation, Power distribution system optimization
 Wind power operation, Wind farm data analysis services
 Engine parts, Connecting rod bearings
 Wind power plant development and construction, Wind farm energy management system
 Wind power, Wind farm environmental monitoring system
 Pigments, Color solvent
 Thermal imaging camera, Infrared thermal imager temperature control module
 oil, Oil Seismic Exploration
 Lithium-ion battery, Battery performance optimization service
